ZCTA5CE10,AFFGEOID10,GEOID10,ALAND10,AWATER10,STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,geometry,sv_zone,percent_aid_approved,percent_people_approved,average_damage,percent_eligible_approved,eligible,applicants,gini_value,test
33945,8600000US33945,33945,345340,5710,12,071,080100,12071080100,1400000US12071080100,801,Census Tract 801,G5020,S,18890058,74203315,+26.6042723,-082.2180194,"POLYGON ((-82.22338042856654 26.60359149038132, -82.22043204788449 26.606569829730095, -82.21939191517886 26.606138006465283, -82.21656091821983 26.602927014201697, -82.21919091682348 26.603285011532424, -82.2197869175674 26.60141601428514, -82.21823991967813 26.59885901987856, -82.21955391930759 26.598414019633868, -82.22259891767978 26.598796016634573, -82.22357891801184 26.597320018438644, -82.22361391714978 26.598902015670316, -82.22151991720558 26.600608014334973, -82.22010491797185 26.60040101578709, -82.22413192307754 26.601253220351666, -82.22406891480695 26.602896008393632, -82.22338042856654 26.60359149038132))",3.0,3.1419526535,0.0,0.0,0.0,3.0,1.0,0.3309,0.06842819239898679
33919,8600000US33919,33919,23301522,6935289,12,071,001706,12071001706,1400000US12071001706,17.06,Census Tract 17.06,G5020,S,3025945,54203,+26.5301358,-081.9178281,"POLYGON ((-81.9130160118745 26.52031327443919, -81.91316518471518 26.520311334736363, -81.91355218435295 26.520314334461727, -81.91396318397918 26.52030733418448, -81.91445418353224 26.52029933385273, -81.91455518344068 26.52029733378498, -81.91496118307475 26.520287333515412, -81.91559218250545 26.520272333095626, -81.91645218173012 26.52025133252416, -81.91665718155281 26.520239332397754, -81.91675203258536 26.520231024216557, -81.91814618021321 26.52020033141162, -81.91814618021324 26.520200331411615, -81.91840317998873 26.52018733125013, -81.91859017983452 26.520169331144558, -81.91881117966484 26.52013633103615, -81.91914817942504 26.52006833089541, -81.9193541792939 26.52001233082943, -81.9195671791702 26.519943330776606, -81.92025215947525 26.537738305526574, -81.91874015920287 26.539296304308746, -81.9187401592044 26.539296304307406, -81.91874015920288 26.539296304308746, -81.91831415919555 26.53967030405339, -81.9182761591942 26.53970430402966, -81.91771515919572 26.540186303706193, -81.91712915919017 26.54069630335704, -81.916339159182 26.541384302882225, -81.91618115915739 26.54154330275667, -81.91599015906677 26.541792302524705, -81.91597015905306 26.541822302494865, -81.91582215895059 26.542045302272523, -81.91568615877914 26.542322301966447, -81.91560715861941 26.542539301709485, -81.91526415786481 26.543538300512193, -81.91522415777521 26.54365630037029, -81.91517315767214 26.543796300204054, -81.9151161575521 26.54395730001181, -81.91500015733207 26.544262299652328, -81.91464115660484 26.545249298477298, -81.91451615637268 26.54557329809534, -81.91435915651745 26.545573298190455, -81.91409915675827 26.545572298349384, -81.91279815793219 26.545596299103504, -81.91216115849916 26.54561529946235, -81.91181515881284 26.545620299664797, -81.91170015891888 26.54562029973445, -81.91172216070115 26.543940302112343, -81.91174116210956 26.542611303992253, -81.9117541631362 26.541643305361916, -81.91179716656958 26.538406309941717, -81.91184616800066 26.537030311868644, -81.91182816955802 26.535594313923475, -81.91179716988172 26.535319314334735, -81.91179117045486 26.53479031509141, -81.91181017127525 26.534009316190527, -81.91176117155659 26.5337893165354, -81.91174317264299 26.53279231796608, -81.91171217314374 26.532352318612606, -81.91173717415387 26.531389319966873, -81.91170717435222 26.531230320212934, -81.91167017460535 26.5310263205277, -81.91163917566193 26.530068321911994, -81.91165317624018 26.529517322687116, -81.91165817643513 26.529331322948583, -81.91164417680966 26.528994323437665, -81.91162217738798 26.528474324192665, -81.91161517758009 26.52830132444365, -81.91162817791567 26.527977324896224, -81.91164617836574 26.527542325503433, -81.91162217939228 26.52660632685216, -81.9115971803425 26.525742328099213, -81.91156418241711 26.52383733083419, -81.91153818406464 26.522324333006566, -81.91147363986185 26.52034723047123, -81.9130160118745 26.52031327443919))",3.0,0.41019020563125314,1.5107351984385167,1093.4747368421051,0.36566929133858267,6350.0,1537.0,0.3234,0.3131286434405629
33919,8600000US33919,33919,23301522,6935289,12,071,001711,12071001711,1400000US12071001711,17.11,Census Tract 17.11,G5020,S,1999735,98099,+26.5411749,-081.9107866,"POLYGON ((-81.91179716656958 26.538406309941717, -81.9117541631362 26.541643305361916, -81.91174116210956 26.542611303992253, -81.91172216070115 26.543940302112343, -81.91170015891888 26.54562029973445, -81.91148415911806 26.545620299865266, -81.91111215945892 26.54562230008772, -81.91046616004493 26.545631300466116, -81.90982116065148 26.54562030087247, -81.9081871621324 26.545644301827636, -81.90792716235603 26.54565930196353, -81.90767016259193 26.545660302117707, -81.90752616271934 26.545665302197705, -81.9074451627908 26.545668302242433, -81.90606916396936 26.545752302954263, -81.90592516409568 26.54575830303274, -81.90394216588973 26.545790304186283, -81.90387216595533 26.545789304230087, -81.9034371663661 26.545780304506366, -81.90246216728767 26.54575930512691, -81.90103516858515 26.545776305965585, -81.90073916885379 26.545780306138834, -81.89832117105425 26.54580730756212, -81.89816717119302 26.545810307650868, -81.89816417138407 26.545635307910487, -81.89816517207068 26.544996308851246, -81.89817417231203 26.54476430918754, -81.89819717253721 26.544535309510866, -81.89825017265079 26.54438430970096, -81.89824417274993 26.54429730983276, -81.89822517284492 26.544225309950413, -81.8982331729817 26.5440913101429, -81.8982301731857 26.54390431042017, -81.89823317327652 26.54381731054648, -81.89824617342485 26.54366831075798, -81.89826817355949 26.54352431095658, -81.89830717369028 26.543369311160916, -81.8983781738561 26.543154311433895, -81.89858317428128 26.54258331214818, -81.89866117446105 26.542349312444365, -81.89868517451637 26.54227731253547, -81.89872017466158 26.54211231275658, -81.89873317474964 26.54201931288535, -81.89873817482463 26.541945312991114, -81.89874017506807 26.54171731332528, -81.89873217524759 26.54155731356562, -81.89870917547431 26.541366313860884, -81.89867217569028 26.54119731413252, -81.89862017591688 26.541031314409132, -81.89829217720305 26.54011731595937, -81.89826317734388 26.54001131613364, -81.89822817756986 26.539831316420692, -81.89821217771376 26.539711316607484, -81.89820117785412 26.53959031679262, -81.89819517804041 26.539422317043858, -81.89819517886889 26.538652318178123, -81.89819417898492 26.53854531833637, -81.89818918016128 26.53745631994372, -81.89818118135007 26.536358321566286, -81.89818218219376 26.53557332272204, -81.89819318240417 26.53536832301695, -81.89820718252574 26.535243323192073, -81.89820618294735 26.534852323768668, -81.89843418328421 26.534343324370898, -81.89885218355182 26.533735324994566, -81.89888718359155 26.53366832507036, -81.89902618375883 26.533393325384324, -81.89908618385824 26.533249325556934, -81.8991371839703 26.533101325741224, -81.89917618409774 26.53294932593917, -81.89920518423227 26.532799326140662, -81.89921818429447 26.532730326233555, -81.8992311844535 26.53257132645868, -81.89922818470261 26.5323423267971, -81.89913718560113 26.531585327969143, -81.89959118519614 26.53157132769131, -81.89993218490216 26.53155132749651, -81.90032318439951 26.53168232704753, -81.90047518418038 26.531755326840763, -81.90054618408888 26.531779326758993, -81.90063418399347 26.531792326682186, -81.90071018391994 26.5317953266279, -81.90135818332476 26.531791326208356, -81.90187818284905 26.531786325874286, -81.90224318250921 26.531788325631744, -81.90362718124275 26.531775324742043, -81.90360518160274 26.5314593252157, -81.90358118171416 26.531376325352102, -81.91170717435222 26.531230320212934, -81.91173717415387 26.531389319966873, -81.91171217314374 26.532352318612606, -81.91174317264299 26.53279231796608, -81.91176117155659 26.5337893165354, -81.91181017127525 26.534009316190527, -81.91179117045486 26.53479031509141, -81.91179716988172 26.535319314334735, -81.91182816955802 26.535594313923475, -81.91184616800066 26.537030311868644, -81.91179716656958 26.538406309941717))",3.0,0.41019020563125314,1.5107351984385167,1093.4747368421051,0.36566929133858267,6350.0,1537.0,0.39,0.8903949219979589
33919,8600000US33919,33919,23301522,6935289,12,071,001709,12071001709,1400000US12071001709,17.09,Census Tract 17.09,G5020,S,3195668,801494,+26.5305646,-081.8801332,"MULTIPOLYGON (((-81.88678818233528 26.5452073154482, -81.88717518871734 26.538958324671515, -81.88717518871734 26.53895832467152, -81.8871531872527 26.540335322601084, -81.88711018502123 26.542441319439884, -81.88708618447073 26.542972318650822, -81.88706518413423 26.543302318164134, -81.88702118367874 26.54376231749466, -81.88697418332308 26.54413231696315, -81.88696818328872 26.544169316910786, -81.88678818233528 26.545207315448202, -81.88669818195773 26.545634314855803, -81.88662118170302 26.545936314444727, -81.88655377220967 26.545937396747323, -81.88678818233528 26.5452073154482)), ((-81.88694520165878 26.52715534269108, -81.88696020088781 26.5278573416179, -81.88696220078026 26.527955341468147, -81.88699519901772 26.529561339014165, -81.88703519691765 26.531474336091136, -81.88710219338961 26.534688331181602, -81.88713119189076 26.53605332909663, -81.88716718970822 26.538046326056964, -81.88717018956419 26.538177325856783, -81.88717518871734 26.538958324671515, -81.88694520165878 26.52715534269108)), ((-81.88730920361425 26.52502934566272, -81.88730920361431 26.525029345662627, -81.88730920361427 26.52502934566272, -81.88730920361424 26.525029345662805, -81.88730920361425 26.52502934566272)))",3.0,0.41019020563125314,1.5107351984385167,1093.4747368421051,0.36566929133858267,6350.0,1537.0,0.4579,0.6780578447077095
33919,8600000US33919,33919,23301522,6935289,12,071,001708,12071001708,1400000US12071001708,17.08,Census Tract 17.08,G5020,S,2151370,59746,+26.5514924,-081.8803383,"MULTIPOLYGON (((-81.88507116989223 26.558208296712273, -81.88500916961584 26.558517296276797, -81.88494016937501 26.55879929588618, -81.88489384336346 26.55895742729303, -81.88507116989223 26.558208296712273)), ((-81.88514910423261 26.556668957752713, -81.88515117138517 26.55675629887602, -81.88515717120812 26.5569152986308, -81.88515917102612 26.55708229837567, -81.88516417070973 26.557371297933294, -81.88515317049004 26.557584297615502, -81.88512417022218 26.55785729721653, -81.88507116989223 26.558208296712273, -81.88514910423261 26.556668957752713)), ((-81.88553117927104 26.54912231026214, -81.88553117927175 26.54912231025993, -81.88553117927107 26.54912231026214, -81.88553117927104 26.549122310262216, -81.88553117927104 26.54912231026214)), ((-81.88655377220967 26.545937396747323, -81.88662118170302 26.545936314444727, -81.88657018154188 26.54612931418301, -81.88650118133478 26.54638031384414, -81.88646418124378 26.546496313690568, -81.8863251809049 26.546929313117577, -81.88616218056653 26.547382312528182, -81.88586718001106 26.548149311540346, -81.88565108510876 26.5487488579263, -81.88655377220967 26.545937396747323)))",2.0,0.41019020563125314,1.5107351984385167,1093.4747368421051,0.36566929133858267,6350.0,1537.0,0.4185,0.6733074502805777
33919,8600000US33919,33919,23301522,6935289,12,071,001710,12071001710,1400000US12071001710,17.10,Census Tract 17.10,G5020,S,1447827,92484,+26.5259456,-081.9054031,"POLYGON ((-81.91147363986185 26.52034723047123, -81.91153818406464 26.522324333006566, -81.91156418241711 26.52383733083419, -81.9115971803425 26.525742328099213, -81.91162217939228 26.52660632685216, -81.91164617836574 26.527542325503433, -81.91162817791567 26.527977324896224, -81.91161517758009 26.52830132444365, -81.91162217738798 26.528474324192665, -81.91164417680966 26.528994323437665, -81.91165817643513 26.529331322948583, -81.91165317624018 26.529517322687116, -81.91163917566193 26.530068321911994, -81.91167017460535 26.5310263205277, -81.91170717435222 26.531230320212934, -81.90358118171416 26.531376325352102, -81.90360518160274 26.5314593252157, -81.90362718124275 26.531775324742043, -81.90224318250921 26.531788325631744, -81.90187818284905 26.531786325874286, -81.90135818332476 26.531791326208356, -81.90071018391994 26.5317953266279, -81.90063418399347 26.531792326682186, -81.90054618408888 26.531779326758993, -81.90047518418038 26.531755326840763, -81.90032318439951 26.53168232704753, -81.89993218490216 26.53155132749651, -81.89959118519614 26.53157132769131, -81.89913718560113 26.531585327969143, -81.89906218626112 26.5310363288254, -81.8990341865947 26.530750329264276, -81.89902118705854 26.530330329890273, -81.898979189519 26.528079333227453, -81.89895219103074 26.526697335277472, -81.89893819181292 26.525982336338213, -81.8989221928153 26.52506433769888, -81.89892119290121 26.52498533781572, -81.89890819362758 26.524321338800956, -81.89889519432386 26.523685339745082, -81.89888719483582 26.523216340440246, -81.8988731950392 26.523039340710167, -81.8988981951419 26.522922340865, -81.89884719530859 26.522811341063385, -81.89882319560303 26.522558341452033, -81.89881119600146 26.522198341989803, -81.89877934009351 26.520626701327508, -81.91147363986185 26.52034723047123))",2.0,0.41019020563125314,1.5107351984385167,1093.4747368421051,0.36566929133858267,6350.0,1537.0,0.4117,0.3855379599988199
33919,8600000US33919,33919,23301522,6935289,12,071,001918,12071001918,1400000US12071001918,19.18,Census Tract 19.18,G5020,S,1950214,0,+26.5146714,-081.9045973,"POLYGON ((-81.89297645229726 26.520754454566404, -81.89258820331237 26.520768348430476, -81.89220758665623 26.52077138149606, -81.89297645229726 26.520754454566404))",3.0,0.41019020563125314,1.5107351984385167,1093.4747368421051,0.36566929133858267,6350.0,1537.0,0.4769,0.3356067680063296
33919,8600000US33919,33919,23301522,6935289,12,071,001919,12071001919,1400000US12071001919,19.19,Census Tract 19.19,G5020,S,2187796,171225,+26.5052030,-081.9163773,"MULTIPOLYGON (((-81.91675203258536 26.520231024216557, -81.91665718155281 26.520239332397754, -81.91645218173012 26.52025133252416, -81.91559218250545 26.520272333095626, -81.91496118307475 26.520287333515412, -81.91455518344068 26.52029733378498, -81.91445418353224 26.52029933385273, -81.91396318397918 26.52030733418448, -81.91355218435295 26.520314334461727, -81.91316518471518 26.520311334736363, -81.9130160118745 26.52031327443919, -81.91675203258536 26.520231024216557)), ((-81.9195671791702 26.519943330776602, -81.9195671791702 26.519943330776606, -81.9193541792939 26.52001233082943, -81.91914817942504 26.52006833089541, -81.91881117966484 26.52013633103615, -81.91859017983452 26.520169331144558, -81.91840317998873 26.52018733125013, -81.91814618021324 26.520200331411615, -81.9195671791702 26.519943330776602)))",3.0,0.41019020563125314,1.5107351984385167,1093.4747368421051,0.36566929133858267,6350.0,1537.0,0.4104,0.47395292429597846
33919,8600000US33919,33919,23301522,6935289,12,071,010802,12071010802,1400000US12071010802,108.02,Census Tract 108.02,G5020,S,2527981,1532962,+26.5591991,-081.9499479,"POLYGON ((-81.928194472473 26.558983579092953, -81.93223113184857 26.553238277030975, -81.93309913230694 26.55206127811237, -81.93396913276833 26.550879279191786, -81.93404932615894 26.550926232682325, -81.928194472473 26.558983579092953))",3.0,0.41019020563125314,1.5107351984385167,1093.4747368421051,0.36566929133858267,6350.0,1537.0,0.4542,0.5353062349583954
33919,8600000US33919,33919,23301522,6935289,12,071,010803,12071010803,1400000US12071010803,108.03,Census Tract 108.03,G5020,S,2109890,5133196,+26.5460830,-081.9482964,"POLYGON ((-81.93404932615894 26.550926232682325, -81.93396913276833 26.550879279191786, -81.93446913302763 26.550205279801606, -81.93530913346153 26.54907428081877, -81.93552113357154 26.548788281075115, -81.93740013454256 26.546256283323906, -81.93799813485131 26.545450284032498, -81.93813713492268 26.545263284196235, -81.93877113525026 26.544408284943373, -81.93940613557562 26.543554285684593, -81.93404932615894 26.550926232682325))",2.0,0.41019020563125314,1.5107351984385167,1093.4747368421051,0.36566929133858267,6350.0,1537.0,0.493,0.8885983701875607
